sp_elev,sp,elevation,year,month,monthly_pet,monthly_tmed,monthly_prec
halepensis_medium,halepensis,medium,1994,9,80.29832459425408,18.009999879201253,14.500000387430193
halepensis_medium,halepensis,medium,1994,10,51.80867565224898,13.851612829392955,63.49999977648258
halepensis_medium,halepensis,medium,1994,11,34.5204185120929,11.400000063578288,22.999999225139614
halepensis_medium,halepensis,medium,1994,12,20.034960434623965,7.845161295706226,0
halepensis_medium,halepensis,medium,1995,1,16.9846926822031,6.848387156763384,0
halepensis_medium,halepensis,medium,1995,2,27.320078213652852,9.707142855439868,14.399999797344208
halepensis_medium,halepensis,medium,1995,3,31.56613139743031,9.335483843280423,8.800000108778477
halepensis_medium,halepensis,medium,1995,4,43.27208210449227,11.136666584014892,0.800000011920929
halepensis_medium,halepensis,medium,1995,5,84.10855171693164,16.554838765052057,1.5000000596046448
halepensis_medium,halepensis,medium,1995,6,96.52673165694664,18.179999923706056,16.100000113248825
halepensis_medium,halepensis,medium,1995,7,142.6409740686185,23.716129056869015,0.699999988079071
halepensis_medium,halepensis,medium,1995,8,126.52096208969483,22.774193671441846,1.899999976158142
halepensis_medium,halepensis,medium,1995,9,75.43196596795615,17.22333313624064,1
halepensis_medium,halepensis,medium,1995,10,60.657245536008304,15.5032257879934,0.8000000193715096
halepensis_medium,halepensis,medium,1995,11,34.817492006652394,11.469999965031942,9.700000047683716
halepensis_medium,halepensis,medium,1995,12,20.520952499964583,7.98064524127591,44.200000919401646
halepensis_medium,halepensis,medium,1996,1,16.305513113676042,6.651612927836757,115.5999988168478
halepensis_medium,halepensis,medium,1996,2,11.181241909813362,5.127586220872813,25.29999963194132
halepensis_medium,halepensis,medium,1996,3,24.93039367432131,7.887096766502626,21.39999994635582
halepensis_medium,halepensis,medium,1996,4,44.656189388352225,11.390000025431316,15.199999637901785
halepensis_medium,halepensis,medium,1996,5,60.98666368254918,13.15806444229618,19.600000359117985
halepensis_medium,halepensis,medium,1996,6,99.21287098095851,18.54000005722046,0.4000000134110451
halepensis_medium,halepensis,medium,1996,7,126.80011751567208,21.803225794146137,0.4000000059604645
halepensis_medium,halepensis,medium,1996,8,117.53409940100988,21.6064517728744,5.799999952316284
halepensis_medium,halepensis,medium,1996,9,68.29835426566545,16.04333340326945,43.199999034404755
halepensis_medium,halepensis,medium,1996,10,50.36206173627945,13.574193616067207,12.399999812245367
halepensis_medium,halepensis,medium,1996,11,27.245257066207287,9.62666662534078,60.6999996304512
halepensis_medium,halepensis,medium,1996,12,14.843877374429836,6.332258078359788,78.89999937266111
halepensis_medium,halepensis,medium,1997,1,13.125969295663564,5.696774159708331,77.29999953508377
halepensis_medium,halepensis,medium,1997,2,26.772924551689027,9.567857112203326,0
halepensis_medium,halepensis,medium,1997,3,38.35322950712426,10.729032285751837,12.5
halepensis_medium,halepensis,medium,1997,4,46.885277417158406,11.79333332379659,49.80000001192093
halepensis_medium,halepensis,medium,1997,5,69.36715025542269,14.425806414696478,5.799999818205833
