sp,elevation,year,precip_total_anual
nigra,high,1983,209.00000095367432
nigra,high,1984,356.5000003501773
nigra,high,1985,230.39999824762344
nigra,high,1986,328.00000140070915
nigra,high,1987,418.10000233352184
nigra,high,1988,294.8000008687377
nigra,high,1989,628.1000016182661
nigra,high,1990,310.5999999642372
nigra,high,1991,296.2000006586313
nigra,high,1992,304.09999845921993
nigra,high,1993,217.50000094622374
nigra,high,1994,196.20000208169222
nigra,high,1995,182.0000012293458
nigra,high,1996,606.3999931812286
nigra,high,1997,526.3000056967139
nigra,high,1998,242.90000158548358
nigra,high,1999,230.10000155866146
nigra,high,2000,352.4999980404973
nigra,high,2001,360.8999972194433
nigra,high,2002,337.3000014722347
nigra,high,2003,357.99999963492155
nigra,high,2004,361.3000032007694
nigra,high,2005,148.70000023394823
nigra,high,2006,358.0999992862344
nigra,high,2007,321.9999965876341
nigra,high,2008,306.5999997481704
nigra,high,2009,479.100001975894
nigra,high,2010,622.4999988824129
nigra,high,2011,331.69999784976244
nigra,high,2012,303.1999998539686
nigra,high,2013,331.79999953508377
nigra,high,2014,289.80000053346157
nigra,high,2015,243.29999957978725
nigra,high,2016,347.10000129044056
nigra,high,2017,204.19999980181456
nigra,high,2018,458.199998088181
nigra,high,2019,255.79999914765358
nigra,high,2020,319.59999722987413
nigra,high,2021,208.30000134557486
nigra,high,2022,237.89999936521053
nigra,low,1971,460.90000012516975
nigra,low,1972,455.99999984353786
nigra,low,1973,563.5999962538481
nigra,low,1974,229.69999929517508
nigra,low,1975,372.30000300705433
nigra,low,1976,451.6999995559454
nigra,low,1977,267.40000285208225
nigra,low,1978,425.00000313669443
nigra,low,1979,472.29999938607216
nigra,low,1980,236.99999798834324
nigra,low,1981,288.8000002428889
nigra,low,1982,311.19999977201223
nigra,low,1983,195.79999992996454
nigra,low,1984,342.3000029474497
nigra,low,1985,219.70000053942204
nigra,low,1986,293.20000004023314
nigra,low,1987,356.9999966621399
nigra,low,1988,263.8000006750226
nigra,low,1989,548.6999956145883
nigra,low,1990,286.0999985933304
nigra,low,1991,264.2999997511506
nigra,low,1992,283.5000002756715
nigra,low,1993,189.60000014305115
nigra,low,1994,179.30000004172325
nigra,low,1995,165.59999841451645
nigra,low,1996,491.5000019297003
nigra,low,1997,484.99999987334013
nigra,low,1998,231.10000133514404
nigra,low,1999,222.40000078082085
nigra,low,2000,329.60000133514404
nigra,low,2001,358.9999979585409
nigra,low,2002,336.20000406354666
nigra,low,2003,350.70000118017197
nigra,low,2004,340.69999630749226
nigra,low,2005,143.2999984845519
nigra,low,2006,355.1000021472573
nigra,low,2007,322.900001116097
nigra,low,2008,297.6999995857477
nigra,low,2009,458.8000015169382
nigra,low,2010,572.6000000014901
nigra,low,2011,302.0999975055456
nigra,low,2012,288.2999999076128
nigra,low,2013,335.79999797046185
nigra,low,2014,270.5000014975667
nigra,low,2015,228.80000022053719
nigra,low,2016,323.4000009149313
nigra,low,2017,201.10000035911798
nigra,low,2018,452.60000202804804
nigra,low,2019,256.500001385808
nigra,low,2020,322.69999654591084
nigra,low,2021,203.90000009536743
nigra,low,2022,235.90000228583813
nigra,medium,1971,465.000001385808
nigra,medium,1972,453.5999987497926
nigra,medium,1973,582.4999972358346
nigra,medium,1974,229.60000109672546
nigra,medium,1975,371.6000015437603
nigra,medium,1976,456.1999952122569
nigra,medium,1977,272.4000019207597
nigra,medium,1978,437.1999999731779
nigra,medium,1979,485.8000040203333
nigra,medium,1980,241.09999930858612
nigra,medium,1981,293.1999991685152
nigra,medium,1982,322.2000036165118
nigra,medium,1983,198.30000070482492
nigra,medium,1984,345.1000010818243
nigra,medium,1985,219.9000006094575
nigra,medium,1986,299.2000002786517
nigra,medium,1987,374.4000006392598
nigra,medium,1988,270.2000022381544
nigra,medium,1989,581.3999991640449
nigra,medium,1990,294.7000013887882
nigra,medium,1991,276.8000006079674
nigra,medium,1992,287.70000299066305
nigra,medium,1993,195.59999771416187
nigra,medium,1994,184.30000160634518
nigra,medium,1995,169.09999822825193
nigra,medium,1996,510.0999994650483
nigra,medium,1997,491.20000356435776
nigra,medium,1998,233.49999901652336
nigra,medium,1999,223.70000023394823
nigra,medium,2000,332.9000014215708
nigra,medium,2001,358.80000076442957
nigra,medium,2002,335.5999978631735
nigra,medium,2003,351.50000170618296
nigra,medium,2004,346.19999980181456
nigra,medium,2005,144.2999996766448
nigra,medium,2006,355.79999820142984
nigra,medium,2007,320.7000005543232
nigra,medium,2008,299.19999996572733
nigra,medium,2009,459.500001385808
nigra,medium,2010,584.4000020325184
nigra,medium,2011,311.1000026464462
nigra,medium,2012,293.30000053346157
nigra,medium,2013,332.6999991759658
nigra,medium,2014,276.49999891221523
nigra,medium,2015,233.39999990165234
nigra,medium,2016,330.6000007465482
nigra,medium,2017,201.99999932199717
nigra,medium,2018,454.59999633580446
nigra,medium,2019,256.3000005185604
nigra,medium,2020,321.9999991506338
nigra,medium,2021,205.19999899715185
nigra,medium,2022,236.8000017851591
pinaster,high,1971,521.1000029370189
pinaster,high,1972,534.4999981448054
pinaster,high,1973,658.9000064954162
pinaster,high,1974,283.1000004634261
pinaster,high,1975,487.00000040233135
pinaster,high,1976,650.1999976187944
pinaster,high,1977,388.6000002101064
pinaster,high,1978,562.9999984502792
pinaster,high,1979,671.3999953940511
pinaster,high,1980,316.90000239759684
pinaster,high,1981,367.30000203847885
pinaster,high,1982,458.6999986320734
pinaster,high,1983,316.899998575449
pinaster,high,1984,401.19999923557043
pinaster,high,1985,312.19999830424786
pinaster,high,1986,401.7000026330352
pinaster,high,1987,527.4999965876341
pinaster,high,1988,314.6000004708767
pinaster,high,1989,670.2000028118491
pinaster,high,1990,344.49999982863665
pinaster,high,1991,310.50000266730785
pinaster,high,1992,292.3000028207898
pinaster,high,1993,213.90000101178885
pinaster,high,1994,205.7000007852912
pinaster,high,1995,190.50000106543303
pinaster,high,1996,724.0000017806888
pinaster,high,1997,546.399998433888
pinaster,high,1998,258.20000045001507
pinaster,high,1999,245.79999900609255
pinaster,high,2000,402.999999769032
pinaster,high,2001,368.1999987438321
pinaster,high,2002,349.8999965339899
pinaster,high,2003,390.2000003904104
pinaster,high,2004,373.1000012680888
pinaster,high,2005,163.00000058859587
pinaster,high,2006,373.19999949634075
pinaster,high,2007,333.40000092983246
pinaster,high,2008,376.8000027835369
pinaster,high,2009,612.6999992355704
pinaster,high,2010,799.8999972045422
pinaster,high,2011,353.29999632388353
pinaster,high,2012,371.1999985873699
pinaster,high,2013,454.00000366568565
pinaster,high,2014,385.20000221580267
pinaster,high,2015,295.9000007212162
pinaster,high,2016,444.8000042438507
pinaster,high,2017,231.89999970793724
pinaster,high,2018,506.900000281632
pinaster,high,2019,279.30000157654285
pinaster,high,2020,318.7999990209937
pinaster,high,2021,210.29999995231628
pinaster,high,2022,242.90000300854445
pinaster,low,1971,460.30000119656324
pinaster,low,1972,478.89999990165234
pinaster,low,1973,516.5000046342611
pinaster,low,1974,256.6999999731779
pinaster,low,1975,384.00000197440386
pinaster,low,1976,453.79999849945307
pinaster,low,1977,262.80000042915344
pinaster,low,1978,418.4000044167042
pinaster,low,1979,439.60000039637094
pinaster,low,1980,228.29999881237745
pinaster,low,1981,274.80000162124634
pinaster,low,1982,282.5000002384186
pinaster,low,1983,199.30000173300505
pinaster,low,1984,326.60000190883875
pinaster,low,1985,238.50000252574682
pinaster,low,1986,269.00000115484
pinaster,low,1987,305.59999869018793
pinaster,low,1988,187.30000060796738
pinaster,low,1989,423.5999993607402
pinaster,low,1990,266.30000015348196
pinaster,low,1991,251.40000093728304
pinaster,low,1992,237.89999944716692
pinaster,low,1993,145.4000008776784
pinaster,low,1994,166.29999965429306
pinaster,low,1995,160.20000014454126
pinaster,low,1996,403.00000263750553
pinaster,low,1997,427.59999979287386
pinaster,low,1998,219.00000031292439
pinaster,low,1999,229.1999997496605
pinaster,low,2000,321.1999978199601
pinaster,low,2001,366.4000036045909
pinaster,low,2002,344.6999992504716
pinaster,low,2003,354.1000009998679
pinaster,low,2004,327.8999996930361
pinaster,low,2005,147.09999949485064
pinaster,low,2006,370.90000057965517
pinaster,low,2007,318.6999987885356
pinaster,low,2008,298.69999988377094
pinaster,low,2009,476.6000032648444
pinaster,low,2010,561.6999973505735
pinaster,low,2011,271.39999977499247
pinaster,low,2012,276.59999995678663
pinaster,low,2013,381.99999641627073
pinaster,low,2014,258.0999990180135
pinaster,low,2015,213.9000012949109
pinaster,low,2016,313.9000031426549
pinaster,low,2017,200.000003375113
pinaster,low,2018,448.90000262111425
pinaster,low,2019,267.2999989166856
pinaster,low,2020,321.5000021979213
pinaster,low,2021,199.7999987900257
pinaster,low,2022,236.40000085532665
pinaster,medium,1971,495.90000218153
pinaster,medium,1972,520.8999985828996
pinaster,medium,1973,596.4999967813492
pinaster,medium,1974,276.60000033676624
pinaster,medium,1975,434.6999988332391
pinaster,medium,1976,536.6999999731779
pinaster,medium,1977,311.5000006854534
pinaster,medium,1978,487.5999995842576
pinaster,medium,1979,527.1000014543533
pinaster,medium,1980,265.09999803453684
pinaster,medium,1981,312.60000049322844
pinaster,medium,1982,342.3000035881996
pinaster,medium,1983,234.0999993979931
pinaster,medium,1984,349.7000010237098
pinaster,medium,1985,257.20000106841326
pinaster,medium,1986,313.60000086575747
pinaster,medium,1987,391.40000000596046
pinaster,medium,1988,243.49999848008156
pinaster,medium,1989,507.69999681413174
pinaster,medium,1990,291.80000011622906
pinaster,medium,1991,263.70000122487545
pinaster,medium,1992,252.00000181049109
pinaster,medium,1993,163.19999922066927
pinaster,medium,1994,180.00000024586916
pinaster,medium,1995,162.89999993145466
pinaster,medium,1996,481.29999984800816
pinaster,medium,1997,457.2999987453222
pinaster,medium,1998,225.4999998062849
pinaster,medium,1999,226.09999936819077
pinaster,medium,2000,326.09999949485064
pinaster,medium,2001,360.2000007554889
pinaster,medium,2002,341.60000325739384
pinaster,medium,2003,355.5000016540289
pinaster,medium,2004,326.2999981716275
pinaster,medium,2005,147.799999371171
pinaster,medium,2006,362.90000054985285
pinaster,medium,2007,321.9999994188547
