sp,elevation,year,temp_media_anual
nigra,high,1981,10.688156024003625
nigra,high,1982,9.974327959849404
nigra,high,1983,11.312451335684388
nigra,high,1984,9.494009702378557
nigra,high,1985,11.069375320117686
nigra,high,1986,10.681286473046793
nigra,high,1987,10.906066962169827
nigra,high,1988,10.52161230696088
nigra,high,1989,10.735886453900246
nigra,high,1990,10.686199435155554
nigra,high,1991,10.463507380968373
nigra,high,1992,10.143654677680653
nigra,high,1993,9.746558483733324
nigra,high,1994,11.830710439836054
nigra,high,1995,11.412025735020652
nigra,high,1996,9.81382925456537
nigra,high,1997,10.700694423509573
nigra,high,1998,11.29490912746785
nigra,high,1999,11.505241933262049
nigra,high,2000,11.316786266910862
nigra,high,2001,11.362426418229495
nigra,high,2002,11.214713865475842
nigra,high,2003,10.702260636405793
nigra,high,2004,10.55818842456579
nigra,high,2005,10.657477610610298
nigra,high,2006,10.74931965515731
nigra,high,2007,10.27976637781248
nigra,high,2008,10.04482141445294
nigra,high,2009,11.262667680488153
nigra,high,2010,10.393929866719676
nigra,high,2011,10.561764605734421
nigra,high,2012,10.910003083690304
nigra,high,2013,9.910485167781589
nigra,high,2014,10.81058306747273
nigra,high,2015,11.253790968864072
nigra,high,2016,10.754169755475925
nigra,high,2017,11.604852788638814
nigra,high,2018,9.915480020079148
nigra,high,2019,11.08597286450183
nigra,high,2020,11.414104849575455
nigra,high,2021,11.268567563493436
nigra,high,2022,12.870258246601692
nigra,low,1971,9.789803517564629
nigra,low,1972,9.770668027847922
nigra,low,1973,10.875007065685434
nigra,low,1974,11.006067605512728
nigra,low,1975,10.129539184978054
nigra,low,1976,9.446745481528918
nigra,low,1977,9.987982576930037
nigra,low,1978,10.009569910848851
nigra,low,1979,10.315255394976164
nigra,low,1980,10.16992490461805
nigra,low,1981,11.522640186773552
nigra,low,1982,10.85291024798225
nigra,low,1983,12.082659374863479
nigra,low,1984,10.370685951592764
nigra,low,1985,11.873482461172955
nigra,low,1986,11.46694317307515
nigra,low,1987,11.726104081383655
nigra,low,1988,11.38916171171644
nigra,low,1989,11.665014737174848
nigra,low,1990,11.59165003395697
nigra,low,1991,11.278152832395268
nigra,low,1992,10.95965516729921
nigra,low,1993,10.59436381653264
nigra,low,1994,12.53905018075511
nigra,low,1995,12.216971983108813
nigra,low,1996,10.68291962230828
nigra,low,1997,11.535316207244442
nigra,low,1998,11.989626202241913
nigra,low,1999,12.185650911809198
nigra,low,2000,12.064817387527107
nigra,low,2001,12.079441901065191
nigra,low,2002,11.903046595351364
nigra,low,2003,11.487266377480562
nigra,low,2004,11.367068363240529
nigra,low,2005,11.441620584436311
nigra,low,2006,11.58309652480734
nigra,low,2007,11.091651960025331
nigra,low,2008,10.917689719223528
nigra,low,2009,12.029289532258737
nigra,low,2010,11.213541338781798
nigra,low,2011,11.435506887025214
nigra,low,2012,11.726062602360097
nigra,low,2013,10.775813476081138
nigra,low,2014,11.704234506095975
nigra,low,2015,12.079682530327215
nigra,low,2016,11.670494107648702
nigra,low,2017,12.423404380825053
nigra,low,2018,10.833344860065727
nigra,low,2019,11.950019860274507
nigra,low,2020,12.193600884579954
nigra,low,2021,12.115088355636317
nigra,low,2022,13.577585392623293
nigra,medium,1971,9.422231798706967
nigra,medium,1972,9.393664550158757
nigra,medium,1973,10.527115956875097
nigra,medium,1974,10.701291582516943
nigra,medium,1975,9.753191865531607
nigra,medium,1976,9.074208996182177
nigra,medium,1977,9.64903291810611
nigra,medium,1978,9.614708156916716
nigra,medium,1979,9.890440346265885
nigra,medium,1980,9.761992012660851
nigra,medium,1981,11.162544777485243
nigra,medium,1982,10.484440621289224
nigra,medium,1983,11.7472631879241
nigra,medium,1984,9.99754914213163
nigra,medium,1985,11.521874723329384
nigra,medium,1986,11.14390169160433
nigra,medium,1987,11.392236292354012
nigra,medium,1988,11.055897887979182
nigra,medium,1989,11.278523428585139
nigra,medium,1990,11.218728903115284
nigra,medium,1991,10.960179251871185
nigra,medium,1992,10.63989155513671
nigra,medium,1993,10.244352280608528
nigra,medium,1994,12.260960681004143
nigra,medium,1995,11.899447629943632
nigra,medium,1996,10.321748563877252
nigra,medium,1997,11.196216084695
nigra,medium,1998,11.701081655131862
nigra,medium,1999,11.910193293244104
nigra,medium,2000,11.748476697886028
nigra,medium,2001,11.772935893624656
nigra,medium,2002,11.618875444622464
nigra,medium,2003,11.171586036591382
nigra,medium,2004,11.035878722202215
nigra,medium,2005,11.132168471258606
nigra,medium,2006,11.237818758139655
nigra,medium,2007,10.767363700864543
nigra,medium,2008,10.557126733102526
nigra,medium,2009,11.71132234449227
nigra,medium,2010,10.871161669420811
nigra,medium,2011,11.066290964444416
nigra,medium,2012,11.366163012811606
nigra,medium,2013,10.400110720403644
nigra,medium,2014,11.314195466018962
nigra,medium,2015,11.727563351473622
nigra,medium,2016,11.267999338292155
nigra,medium,2017,12.071030492173614
nigra,medium,2018,10.436114318102561
nigra,medium,2019,11.577779068223869
nigra,medium,2020,11.864590268480674
nigra,medium,2021,11.76372053911857
nigra,medium,2022,13.292759258216233
pinaster,high,1971,8.805189443760277
pinaster,high,1972,8.797502792808073
pinaster,high,1973,9.927559525504732
pinaster,high,1974,10.076374164542981
pinaster,high,1975,9.150103042578955
pinaster,high,1976,8.375299719063824
pinaster,high,1977,9.022316324985951
pinaster,high,1978,8.97557474632027
pinaster,high,1979,9.325844850663728
pinaster,high,1980,9.230827464452036
pinaster,high,1981,10.66424153035519
pinaster,high,1982,9.947852024142819
pinaster,high,1983,11.293147706207035
pinaster,high,1984,9.475235453949388
pinaster,high,1985,11.063732087494651
pinaster,high,1986,10.642391826900813
pinaster,high,1987,10.855509477945429
pinaster,high,1988,10.453359621682102
pinaster,high,1989,10.689559020024866
pinaster,high,1990,10.622206878336886
pinaster,high,1991,10.388669338851836
pinaster,high,1992,10.055790663758637
pinaster,high,1993,9.695945981646952
pinaster,high,1994,11.778946480745306
pinaster,high,1995,11.374368275524604
pinaster,high,1996,9.7796746555382
pinaster,high,1997,10.654378489164957
pinaster,high,1998,11.276209703893903
pinaster,high,1999,11.46812467455246
pinaster,high,2000,11.291930859537313
pinaster,high,2001,11.361556591209323
pinaster,high,2002,11.213400507421714
pinaster,high,2003,10.687919239402943
pinaster,high,2004,10.544021764649381
pinaster,high,2005,10.630385288038266
pinaster,high,2006,10.730435210679211
pinaster,high,2007,10.28367894024479
pinaster,high,2008,9.905245022210469
